"query","candidate","type","p_relevant","p_irrelevant","adj_score","margin","keep","decision"
,,"T","0.971302","0.028698","0.971302","0.942604","True","keep"
,,"S","0.971871","0.028129","0.971871","0.943742","True","keep"
,,"T","0.969431","0.03057","0.969431","0.938861","True","keep"
,,"T","0.86248","0.13752","0.86248","0.72496","True","keep"
,,"T","0.971974","0.028026","0.971974","0.943948","True","keep"
,,"S","0.979439","0.020561","0.979439","0.958878","True","keep"
,,"T","0.873697","0.126303","0.873697","0.747394","True","keep"
,,"T","0.936092","0.063908","0.936092","0.872184","True","keep"
,,"T","0.96957","0.03043","0.96957","0.93914","True","keep"
,,"T","0.961682","0.038318","0.961682","0.923364","True","keep"
,,"S","0.691354","0.308646","0.691354","0.382708","True","keep"
,,"S","0.941919","0.058081","0.941919","0.883838","True","keep"
,,"S","0.733105","0.266895","0.733105","0.46621","True","keep"
,,"T","0.819497","0.180503","0.819497","0.638994","True","keep"
,,"S","0.982882","0.017118","0.982882","0.965764","True","keep"
,,"T","0.976602","0.023398","0.976602","0.953204","True","keep"
,,"S","0.629642","0.370358","0.629642","0.259284","True","keep"
,,"T","0.628989","0.371011","0.628989","0.257978","True","keep"
,,"T","0.922833","0.077167","0.922833","0.845666","True","keep"
,,"T","0.249856","0.750144","0.249856","-0.500288","True","keep"
,,"T","0.966283","0.033717","0.966283","0.932566","True","keep"
,,"T","0.953153","0.046847","0.953153","0.906306","True","keep"
,,"S","0.952842","0.047158","0.952842","0.905684","True","keep"
,,"S","0.97741","0.02259","0.97741","0.95482","True","keep"
,,"S","0.972308","0.027692","0.972308","0.944616","True","keep"
,,"S","0.965498","0.034502","0.965498","0.930996","True","keep"
,,"S","0.725301","0.274699","0.725301","0.450602","True","keep"
,,"S","0.943481","0.056519","0.943481","0.886962","True","keep"
,,"S","0.717521","0.282479","0.717521","0.435042","True","keep"
,,"T","0.970883","0.029117","0.970883","0.941766","True","keep"
,,"S","0.975579","0.024421","0.975579","0.951158","True","keep"
,,"T","0.94331","0.05669","0.94331","0.88662","True","keep"
